NumA,Silver_thickness_nm,Gold_thickness_nm,Copper_thickness_nm,Aluminum_thickness_nm,Graphene_layers,Sensing_length_mm,n_sens,Resonance_lambda_nm,FWHM_nm,Sensitivity_nm_per_RIU
0.2,40,37,40,40,3,7,1.35,819.4,40.13,10033.44
0.2,40,37,35,41,1,6,1.36,915.72,40.13,9983.28
0.2,39,40,38,40,5,5,1.34,719.06,38.13,10033.44
0.2,38,41,38,39,2,5,1.33,618.73,40.13,10033.44
0.2,41,41,36,36,2,5,1.34,717.06,38.13,10033.44
0.2,36,36,40,41,3,7,1.34,717.06,40.13,10033.44
0.2,38,38,40,37,4,7,1.35,817.39,40.13,10033.44
0.2,35,42,37,35,4,7,1.35,815.38,40.13,10033.44
0.2,42,36,39,41,1,6,1.35,819.4,38.13,10033.44
0.2,39,35,37,41,5,7,1.34,715.05,40.13,9933.11
0.2,37,39,36,40,5,7,1.36,915.72,38.13,9983.28
0.2,40,35,41,42,2,5,1.36,919.73,40.13,10033.44
0.2,37,41,35,42,1,5,1.36,917.73,38.13,9983.28
0.2,35,37,38,39,1,6,1.35,815.38,40.13,10033.44
0.2,36,42,38,38,4,7,1.34,717.06,38.13,10033.44
0.2,41,40,38,40,4,5,1.34,719.06,38.13,9933.11
0.2,38,38,38,42,3,5,1.33,618.73,40.13,10033.44
0.2,38,37,42,40,3,5,1.33,618.73,38.13,10033.44
0.2,41,41,35,36,5,8,1.35,817.39,40.13,10033.44
0.2,36,41,39,42,3,6,1.34,719.06,38.13,10033.44
0.2,40,37,40,38,1,5,1.33,616.72,40.13,9832.78
0.2,42,35,36,41,4,6,1.36,917.73,40.13,10033.44
0.2,38,37,39,35,1,5,1.35,815.38,40.13,10033.44
0.2,35,40,40,36,1,5,1.35,815.38,38.13,9966.56
0.2,41,40,37,38,5,5,1.33,618.73,40.13,10033.44
0.2,42,40,41,39,5,8,1.34,721.07,38.13,10033.44
0.2,39,38,36,35,4,7,1.36,913.71,40.13,9983.28
0.2,40,35,38,37,2,7,1.36,915.72,40.13,10033.44
0.2,40,41,39,35,3,7,1.36,917.73,38.13,9983.28
0.2,42,39,36,42,5,8,1.33,618.73,40.13,9832.78
0.2,39,36,38,39,1,5,1.34,715.05,40.13,9933.11
0.2,40,36,38,41,5,8,1.33,616.72,40.13,9832.78
0.2,37,41,35,40,1,7,1.35,817.39,40.13,10033.44
0.2,37,42,38,39,5,8,1.35,817.39,40.13,9966.56
0.2,42,41,38,39,5,6,1.35,819.4,38.13,9966.56
0.2,40,39,35,38,5,6,1.35,815.38,40.13,9966.56
0.2,40,41,37,35,4,8,1.34,717.06,40.13,10033.44
0.2,37,38,39,37,5,6,1.35,815.38,38.13,9966.56
0.2,42,38,37,42,3,6,1.36,919.73,38.13,9983.28
0.2,42,41,36,42,1,7,1.36,919.73,38.13,9983.28
0.2,40,39,40,38,4,8,1.34,719.06,38.13,10033.44
0.2,36,36,37,37,3,7,1.36,913.71,40.13,10033.44
0.2,35,36,42,38,5,8,1.36,915.72,38.13,9983.28
0.2,39,35,40,37,5,7,1.33,614.72,40.13,9832.78
0.2,38,35,41,38,2,8,1.33,616.72,40.13,10033.44
0.2,38,41,35,39,5,7,1.33,616.72,38.13,10033.44
0.2,42,35,37,39,5,5,1.33,616.72,38.13,10033.44
0.2,37,41,42,41,5,5,1.33,620.74,38.13,10033.44
0.2,36,42,40,42,5,5,1.34,719.06,40.13,9933.11
0.2,36,42,41,41,1,7,1.34,719.06,40.13,9933.11
